DATE,PCECTPI
1947-01-01,11.557
1947-04-01,11.649
1947-07-01,11.866
1947-10-01,12.162
1948-01-01,12.297
1948-04-01,12.424
1948-07-01,12.614
1948-10-01,12.574
1949-01-01,12.475
1949-04-01,12.399
1949-07-01,12.327
1949-10-01,12.317
1950-01-01,12.297
1950-04-01,12.356
1950-07-01,12.614
1950-10-01,12.839
1951-01-01,13.247
1951-04-01,13.353
1951-07-01,13.371
1951-10-01,13.548
1952-01-01,13.606
1952-04-01,13.603
1952-07-01,13.692
1952-10-01,13.715
1953-01-01,13.766
1953-04-01,13.786
1953-07-01,13.861
1953-10-01,13.921
1954-01-01,13.991
1954-04-01,13.972
1954-07-01,13.926
1954-10-01,13.912
1955-01-01,13.957
1955-04-01,13.971
1955-07-01,14.026
1955-10-01,14.064
1956-01-01,14.122
1956-04-01,14.217
1956-07-01,14.356
1956-10-01,14.44
1957-01-01,14.57
1957-04-01,14.662
1957-07-01,14.781
1957-10-01,14.858
1958-01-01,15.041
1958-04-01,15.069
1958-07-01,15.08
1958-10-01,15.074
1959-01-01,15.177
1959-04-01,15.239
1959-07-01,15.331
1959-10-01,15.415
1960-01-01,15.435
1960-04-01,15.515
1960-07-01,15.574
1960-10-01,15.642
1961-01-01,15.671
1961-04-01,15.67
1961-07-01,15.726
1961-10-01,15.743
1962-01-01,15.811
1962-04-01,15.867
1962-07-01,15.91
1962-10-01,15.958
1963-01-01,16.004
1963-04-01,16.029
1963-07-01,16.107
1963-10-01,16.166
1964-01-01,16.243
1964-04-01,16.278
1964-07-01,16.331
1964-10-01,16.385
1965-01-01,16.438
1965-04-01,16.522
1965-07-01,16.583
1965-10-01,16.634
1966-01-01,16.763
1966-04-01,16.899
1966-07-01,17.028
1966-10-01,17.16
1967-01-01,17.209
1967-04-01,17.291
1967-07-01,17.452
1967-10-01,17.602
1968-01-01,17.789
1968-04-01,17.971
1968-07-01,18.157
1968-10-01,18.358
1969-01-01,18.536
1969-04-01,18.772
1969-07-01,19.002
1969-10-01,19.221
1970-01-01,19.444
1970-04-01,19.659
1970-07-01,19.851
1970-10-01,20.108
1971-01-01,20.299
1971-04-01,20.53
1971-07-01,20.732
1971-10-01,20.86
1972-01-01,21.08
1972-04-01,21.202
1972-07-01,21.388
1972-10-01,21.562
1973-01-01,21.823
1973-04-01,22.242
1973-07-01,22.647
1973-10-01,23.11
1974-01-01,23.798
1974-04-01,24.472
1974-07-01,25.132
1974-10-01,25.771
1975-01-01,26.256
1975-04-01,26.578
1975-07-01,27.076
1975-10-01,27.53
1976-01-01,27.833
1976-04-01,28.066
1976-07-01,28.492
1976-10-01,28.942
1977-01-01,29.465
1977-04-01,29.969
1977-07-01,30.42
1977-10-01,30.852
1978-01-01,31.358
1978-04-01,32.002
1978-07-01,32.564
1978-10-01,33.179
1979-01-01,33.804
1979-04-01,34.728
1979-07-01,35.59
1979-10-01,36.451
1980-01-01,37.545
1980-04-01,38.464
1980-07-01,39.364
1980-10-01,40.338
1981-01-01,41.384
1981-04-01,42.078
1981-07-01,42.772
1981-10-01,43.427
1982-01-01,43.979
1982-04-01,44.402
1982-07-01,45.103
1982-10-01,45.601
1983-01-01,45.978
1983-04-01,46.398
1983-07-01,47.008
1983-10-01,47.318
1984-01-01,47.83
1984-04-01,48.293
1984-07-01,48.666
1984-10-01,48.966
1985-01-01,49.544
1985-04-01,49.945
1985-07-01,50.337
1985-10-01,50.688
1986-01-01,51.047
1986-04-01,50.993
1986-07-01,51.263
1986-10-01,51.573
1987-01-01,52.061
1987-04-01,52.564
1987-07-01,53.062
1987-10-01,53.52
1988-01-01,53.943
1988-04-01,54.539
1988-07-01,55.211
1988-10-01,55.769
1989-01-01,56.41
1989-04-01,57.17
1989-07-01,57.507
1989-10-01,57.959
1990-01-01,58.799
1990-04-01,59.333
1990-07-01,60.087
1990-10-01,60.882
1991-01-01,61.202
1991-04-01,61.536
1991-07-01,61.954
1991-10-01,62.404
1992-01-01,62.795
1992-04-01,63.212
1992-07-01,63.615
1992-10-01,64.059
1993-01-01,64.441
1993-04-01,64.874
1993-07-01,65.155
1993-10-01,65.531
1994-01-01,65.766
1994-04-01,66.133
1994-07-01,66.607
1994-10-01,66.92
1995-01-01,67.247
1995-04-01,67.639
1995-07-01,67.915
1995-10-01,68.214
1996-01-01,68.593
1996-04-01,69.052
1996-07-01,69.346
1996-10-01,69.819
1997-01-01,70.127
1997-04-01,70.303
1997-07-01,70.488
1997-10-01,70.71
1998-01-01,70.715
1998-04-01,70.843
1998-07-01,71.062
1998-10-01,71.249
1999-01-01,71.39
1999-04-01,71.796
1999-07-01,72.191
1999-10-01,72.629
2000-01-01,73.219
2000-04-01,73.568
2000-07-01,74.042
2000-10-01,74.46
2001-01-01,75.012
2001-04-01,75.363
2001-07-01,75.401
2001-10-01,75.432
2002-01-01,75.584
2002-04-01,76.145
2002-07-01,76.539
2002-10-01,76.896
2003-01-01,77.484
2003-04-01,77.562
2003-07-01,78.073
2003-10-01,78.457
2004-01-01,79.062
2004-04-01,79.594
2004-07-01,79.985
2004-10-01,80.669
2005-01-01,81.138
2005-04-01,81.65
2005-07-01,82.532
2005-10-01,83.189
2006-01-01,83.621
2006-04-01,84.355
2006-07-01,84.962
2006-10-01,84.822
2007-01-01,85.597
2007-04-01,86.324
2007-07-01,86.812
2007-10-01,87.694
2008-01-01,88.408
2008-04-01,89.269
2008-07-01,90.221
2008-10-01,88.781
2009-01-01,88.181
2009-04-01,88.532
2009-07-01,89.142
2009-10-01,89.83
2010-01-01,90.177
2010-04-01,90.317
2010-07-01,90.49
2010-10-01,91.07
2011-01-01,91.835
2011-04-01,92.738
2011-07-01,93.167
2011-10-01,93.475
2012-01-01,94.094
2012-04-01,94.321
2012-07-01,94.595
2012-10-01,95.126
2013-01-01,95.459
2013-04-01,95.508
2013-07-01,95.901
2013-10-01,96.254
2014-01-01,96.696
2014-04-01,97.129
2014-07-01,97.394
2014-10-01,97.265
2015-01-01,96.829
2015-04-01,97.312
2015-07-01,97.565
2015-10-01,97.49
2016-01-01,97.538
2016-04-01,98.157
2016-07-01,98.496
2016-10-01,98.947
2017-01-01,99.524
2017-04-01,99.724
2017-07-01,100.076
2017-10-01,100.676
2018-01-01,101.38
2018-04-01,101.912
2018-07-01,102.254
2018-10-01,102.642
2019-01-01,102.877
2019-04-01,103.422
2019-07-01,103.674
2019-10-01,104.08
2020-01-01,104.416
2020-04-01,103.962
2020-07-01,104.819
2020-10-01,105.343
2021-01-01,106.578
2021-04-01,108.208
2021-07-01,109.705
2021-10-01,111.514
2022-01-01,113.59
2022-04-01,115.577
2022-07-01,116.905
2022-10-01,118.098
2023-01-01,119.309
2023-04-01,120.044
2023-07-01,120.88
